EDSR
t statistic: -2.7234627089745396
p value: 0.009370920415052452
47.2634409090909 39.80657272727273 47.7236090909091 48.07128636363637
57.22375 46.810663636363635 58.22564545454546 58.63032272727273
9.310327272727273 8.505886363636364 9.392586363636363 9.411927272727272

WDSR
t statistic: -3.7769777754946885
p value: 0.0004936292060938952
47.2634409090909 38.19595 48.30481363636363 48.55180454545455
57.22375 44.96328181818182 58.87979999999998 59.2131409090909
9.310327272727273 8.568968181818182 9.451463636363638 9.46745

********************************************* EDSR *********************************************
Bandon_Sunset_2_raw_naive.hdr 42.3617 44.3126 8.6396
Bandon_Sunset_2_raw_linear_l1.hdr 31.2766 34.9340 7.1142
Bandon_Sunset_2_raw_pq_l1.hdr 42.7952 44.9224 8.7803
Bandon_Sunset_2_raw_pu_l1.hdr 42.6047 44.8151 8.7742


Bandon_Sunset_2_aug_1_raw_naive.hdr 42.8160 43.0664 8.4692
Bandon_Sunset_2_aug_1_raw_linear_l1.hdr 27.1762 28.7729 6.4159
Bandon_Sunset_2_aug_1_raw_pq_l1.hdr 43.1053 43.3719 8.5955
Bandon_Sunset_2_aug_1_raw_pu_l1.hdr 42.9626 43.2783 8.5859


Bandon_Sunset_2_aug_2_raw_naive.hdr 53.8016 53.9278 9.3419
Bandon_Sunset_2_aug_2_raw_linear_l1.hdr 21.5850 21.7173 7.3472
Bandon_Sunset_2_aug_2_raw_pq_l1.hdr 54.3148 54.4417 9.4003
Bandon_Sunset_2_aug_2_raw_pu_l1.hdr 53.5477 53.8131 9.3845


Bandon_Sunset_2_aug_3_raw_naive.hdr 55.2880 55.5225 9.4380
Bandon_Sunset_2_aug_3_raw_linear_l1.hdr 21.3004 21.3862 7.4987
Bandon_Sunset_2_aug_3_raw_pq_l1.hdr 55.9041 56.1554 9.4926
Bandon_Sunset_2_aug_3_raw_pu_l1.hdr 54.8124 55.2061 9.4726


Bandon_Sunset_2_aug_4_raw_naive.hdr 60.0168 61.2981 9.7054
Bandon_Sunset_2_aug_4_raw_linear_l1.hdr 20.6179 20.6149 7.9406
Bandon_Sunset_2_aug_4_raw_pq_l1.hdr 60.3802 61.8016 9.7265
Bandon_Sunset_2_aug_4_raw_pu_l1.hdr 57.5339 58.4494 9.5964


Bandon_Sunset_2_aug_5_raw_naive.hdr 61.5306 63.6394 9.8268
Bandon_Sunset_2_aug_5_raw_linear_l1.hdr 19.8067 19.7934 8.1236
Bandon_Sunset_2_aug_5_raw_pq_l1.hdr 61.1081 63.1297 9.7260
Bandon_Sunset_2_aug_5_raw_pu_l1.hdr 57.7805 58.6245 9.4749


Bar_Harbor_Sunrise_raw_naive.hdr 42.2483 44.6994 8.7445
Bar_Harbor_Sunrise_raw_linear_l1.hdr 31.9791 34.9704 6.9423
Bar_Harbor_Sunrise_raw_pq_l1.hdr 43.7031 47.0132 9.0715
Bar_Harbor_Sunrise_raw_pu_l1.hdr 42.9340 46.5037 9.0332


Bar_Harbor_Sunrise_aug_1_raw_naive.hdr 42.2407 43.7891 8.6576
Bar_Harbor_Sunrise_aug_1_raw_linear_l1.hdr 28.6699 30.8416 6.0721
Bar_Harbor_Sunrise_aug_1_raw_pq_l1.hdr 43.6164 45.7421 8.9659
Bar_Harbor_Sunrise_aug_1_raw_pu_l1.hdr 42.8503 45.2414 8.9149


Bar_Harbor_Sunrise_aug_2_raw_naive.hdr 46.6849 48.3696 8.9471
Bar_Harbor_Sunrise_aug_2_raw_linear_l1.hdr 23.3167 23.6754 5.7275
Bar_Harbor_Sunrise_aug_2_raw_pq_l1.hdr 48.2956 50.1684 9.1844
Bar_Harbor_Sunrise_aug_2_raw_pu_l1.hdr 47.4685 49.5633 9.1273


Bar_Harbor_Sunrise_aug_3_raw_naive.hdr 47.4916 49.3435 9.0244
Bar_Harbor_Sunrise_aug_3_raw_linear_l1.hdr 22.9582 23.2173 5.8440
Bar_Harbor_Sunrise_aug_3_raw_pq_l1.hdr 49.1638 51.3318 9.2503
Bar_Harbor_Sunrise_aug_3_raw_pu_l1.hdr 48.2812 50.6603 9.1954


Bar_Harbor_Sunrise_aug_4_raw_naive.hdr 50.2901 52.5130 9.2943
Bar_Harbor_Sunrise_aug_4_raw_linear_l1.hdr 21.9789 22.0575 6.4144
Bar_Harbor_Sunrise_aug_4_raw_pq_l1.hdr 52.0025 55.1675 9.4668
Bar_Harbor_Sunrise_aug_4_raw_pu_l1.hdr 50.6823 54.0461 9.4170


Bar_Harbor_Sunrise_aug_5_raw_naive.hdr 52.2757 54.3626 9.4187
Bar_Harbor_Sunrise_aug_5_raw_linear_l1.hdr 21.1364 21.3034 6.8945
Bar_Harbor_Sunrise_aug_5_raw_pq_l1.hdr 53.6569 56.3878 9.5398
